producto;origen;region;especie;variedad;altura_cultivos;ano_cosecha;puntuacion_sca;perfil;aroma;sabor;url
Café Ni 1225 VROS;Colombia;Huila;Arábica;Geisha;1.600 m.s.n.m;No disponible;88,5;Vinoso;Rosa Oscura;Grosella Roja;https://mareterracoffee.com/es/cafe-verde/ni-1225-vros_pro3359/
Café Almeisan AMI;Colombia;Huila;Arábica;Geisha;1.600 m.s.n.m;No disponible;88,25;Afrutado;Miel;Jazmín;https://mareterracoffee.com/es/cafe-verde/almeisan-ami_pro3355/
Café Caph AAT;Ruanda;Kizi Rift;Arábica;Bourbon Rojo;1.550-1.800 m.s.n.m;No disponible;88;Afrutado;Avellana tostada;Licor de Avellanas y Miel;https://mareterracoffee.com/es/cafe-verde/caph-aat_pro3308/
Café Schedar VTE;Ruanda;Kizi Rift;Arábica;Bourbon Rojo;1.650-1.800 m.s.n.m;No disponible;88;Vinoso;Tequila;Azúcar de Caña;https://mareterracoffee.com/es/cafe-verde/schedar-vte_pro3304/
Café Vega VFR;El Salvador;Apaneca-Ilamatepec;Arábica;Caturra Amarillo;1.500 m.s.n.m;2023;88;Vinoso;Frambuesa;Frambuesa;https://mareterracoffee.com/es/cafe-verde/vega-vfr_pro2804/
Café Cih FsM;Ruanda;Kizi Rift;Arábica;Bourbon Rojo;1.700-2.060 m.s.n.m;No disponible;88;Vinoso;Fruto Sobre Maduro;Cereza Negra;https://mareterracoffee.com/es/cafe-verde/cih-fsm_pro3305/
Café Vega APO;El Salvador;Apaneca-Ilamatepec;Arábica;Kenia y SL 28;1.600 m.s.n.m;2023;87,75;Afrutado;Pomelo;Albahaca;https://mareterracoffee.com/es/cafe-verde/vega-apo_pro2796/
Café Vega FVR;El Salvador;Apaneca-Ilamatepec;Arábica;Bourbon;1.500 m.s.n.m;No disponible;87,75;Floral;Vino Rosado;Caramelo Claro;https://mareterracoffee.com/es/cafe-verde/vega-fvr_pro3403/
Café Icarus FTV;Kenia;Nyeri;Arábica;No disponible;1.840-1.900 m.s.n.m;2022-23;87,75;Floral;Papaya;Chocolate Negro;https://mareterracoffee.com/es/cafe-verde/icarus-ftv_pro2770/
Café Mirzam ATV;Etiopía;Sidama;Arábica;74158;2.000-2.100 m.s.n.m;2023;87,75;Afrutado;Ciruela Roja;Albaricoque;https://mareterracoffee.com/es/cafe-verde/mirzam-atv_pro2846/
Café Vega APO;El Salvador;Apaneca-Ilamatepec;Arábica;SL 28;1.600 m.s.n.m;No disponible;87,75;Afrutado;Pomelo;Mandarina;https://mareterracoffee.com/es/cafe-verde/vega-apo_pro3400/
Café Ni 1225 ALM;Colombia;Huila;Arábica;Castillo y Tabi;1.600 m.s.n.m;No disponible;87,75;Afrutado;Lima;Caqui;https://mareterracoffee.com/es/cafe-verde/ni-1225-alm_pro3358/
Café Vega ALdA;El Salvador;Apaneca-Ilamatepec;Arábica;Bourbon;1.500 m.s.n.m;2023;87,75;Afrutado;Licor de Avellanas;Fresa Deshidratada;https://mareterracoffee.com/es/cafe-verde/vega-alda_pro2809/
Café Antares VCHO;Honduras;Lempira;Arábica;Bourbon, Catuaí, IHCAFE 90 y Ihcafe 90, Catuai, Bourbon.;1.750 m.s.n.m;2022-23;87,75;Vinoso;Cereza Roja;Azúcar Moscovado;https://mareterracoffee.com/es/cafe-verde/antares-vcho_pro2980/
Café Vega FVR;El Salvador;Apaneca-Ilamatepec;Arábica;Bourbon;1.500 m.s.n.m;2023;87,75;Floral;Vino Rosado;Nectarina y Vino Rosado;https://mareterracoffee.com/es/cafe-verde/vega-fvr_pro2798/
Café Low caf Reserve;Brasil Daterra;Cerrado Mineiro;Arábica;Aramosa;1.150 m.s.n.m;No disponible;87,75;Afrutado;Bayas y Frutos del Bosque;Fresa;https://mareterracoffee.com/es/cafe-verde/low-caf-reserve_pro1746/
Café Vega ALdA;El Salvador;Apaneca-Ilamatepec;Arábica;Bourbon;1.500 m.s.n.m;No disponible;87,75;Afrutado;Licor de Avellanas;Cereza Negra;https://mareterracoffee.com/es/cafe-verde/vega-alda_pro3415/
Café Vega AMA;El Salvador;Apaneca-Ilamatepec;Arábica;Bourbon;1.500 m.s.n.m;No disponible;87,5;Afrutado;Mandarina;Azúcar de Caña;https://mareterracoffee.com/es/cafe-verde/vega-ama_pro3401/
Café Phurud AMAR;Etiopía;Sidama;Arábica;4158, 74110, 74110/74158 y 74158;2.300-2.400 m.s.n.m;2023;87,5;Afrutado;Mandarina;Cacao;https://mareterracoffee.com/es/cafe-verde/phurud-amar_pro2840/
Café Dossokam;El Salvador;Apaneca-Ilamatepec;Arábica;Bourbon, Bourbon Amarillo, Bourbon Rojo, Catuaí y Caturra;1.200-1.300 m.s.n.m;2023;87,5;Afrutado;Nectarina;Almendra;https://mareterracoffee.com/es/cafe-verde/dossokam_pro2608/
Café Almeisan VCER;Colombia;Huila;Arábica;Caturra;No disponible;2023;87,5;Vinoso;Cereza Roja;Cacao;https://mareterracoffee.com/es/cafe-verde/almeisan-vcer_pro3080/
Café Dossokam;El Salvador;Apaneca-Ilamatepec;Arábica;Bourbon, Catuaí y Caturra;1.200-1.300 m.s.n.m;2023;87,5;Afrutado;Nectarina;Almendra;https://mareterracoffee.com/es/cafe-verde/dossokam_pro3071/
Café Vega EKI;El Salvador;Apaneca-Ilamatepec;Arábica;Bourbon;1.500 m.s.n.m;2023;87,5;Exótico;Kiwi;Kiwi;https://mareterracoffee.com/es/cafe-verde/vega-eki_pro2808/
Café Caph API;Ruanda;Kizi Rift;Arábica;Bourbon Rojo;1.550-1.800 m.s.n.m;No disponible;87,5;Afrutado;Piña;Avellana Tostada;https://mareterracoffee.com/es/cafe-verde/caph-api_pro3303/
Café Vega AMA;El Salvador;Apaneca-Ilamatepec;Arábica;Bourbon;1.500 m.s.n.m;2023;87,5;Afrutado;Mandarina;Fresa;https://mareterracoffee.com/es/cafe-verde/vega-ama_pro2797/
Café Alnitak AFRE;Guatemala;Fraijanes;Arábica;Caturra;1.675-1.734 m.s.n.m;No disponible;87,25;Afrutado;Fresa;Arándano;https://mareterracoffee.com/es/cafe-verde/alnitak-afre_pro3055/
Café Nihal FFcH;Etiopía;Yirgacheffe;Arábica;Heirloom;No disponible;No disponible;87;Floral;Frutos con Hueso;Jengibre;https://mareterracoffee.com/es/cafe-verde/nihal-ffch_pro2848/
Café Fulu VCER;Ruanda;Muhazi;Arábica;Bourbon Rojo;1.550-1.835 m.s.n.m;No disponible;87;Vinoso;Cereza Roja;Cacao;https://mareterracoffee.com/es/cafe-verde/fulu-vcer_pro3301/
Café Cih APS;Ruanda;Kizi Rift;Arábica;Bourbon Rojo;1.700-2.060 m.s.n.m;No disponible;87;Afrutado;Pomelo;Manzana;https://mareterracoffee.com/es/cafe-verde/cih-aps_pro3300/
Café Muliphein AGRR;Etiopía;Sidama;Arábica;4158, 74110, 74110/74158 y 74158;2.300-2.400 m.s.n.m;2023;87;Afrutado;Pasas de Arándano;Azúcar de Caña;https://mareterracoffee.com/es/cafe-verde/muliphein-agrr_pro2839/
Café Segin AKI;Ruanda;Kizi Rift;Arábica;Bourbon Rojo;1.550-1.835 m.s.n.m;No disponible;87;Afrutado;Kiwi;Albaricoque;https://mareterracoffee.com/es/cafe-verde/segin-aki_pro3297/
Café Thor’s Helmet ACER;Etiopía;Sidama;Arábica;4158, 74110, 74110/74158 y 74158;1.900-2.000 m.s.n.m;2023;87;Afrutado;Naranja Sanguina;Albaricoque;https://mareterracoffee.com/es/cafe-verde/thors-helmet-acer_pro2837/
Café Wasat AUP;Colombia;Huila;Arábica;Colombia;1.600 m.s.n.m;No disponible;87;Afrutado;Uva Pasa;Arándano;https://mareterracoffee.com/es/cafe-verde/wasat-aup_pro3357/
Café Castor APA;Colombia;Huila;Arábica;Castillo, Caturra y Colombia;No disponible;No disponible;87;Afrutado;Papaya;Canela;https://mareterracoffee.com/es/cafe-verde/castor-apa_pro3354/
Café Sundrop;Brasil Daterra;Cerrado Mineiro;Arábica;No disponible;1.150 m.s.n.m;No disponible;87;Afrutado;Fruto Sobre Maduro;Caramelo Oscuro;https://mareterracoffee.com/es/cafe-verde/sundrop_pro3218/
Café Sirius VNA;Etiopía;Sidama;Arábica;;1.900-2.217 m.s.n.m;2022;87;Vinoso;Naranja;Chocolate Negro y Naranja;https://mareterracoffee.com/es/cafe-verde/sirius-vna_pro2101/
Café Cih API;Ruanda;Kizi Rift;Arábica;Bourbon Rojo;1.700-2.060 m.s.n.m;No disponible;87;Afrutado;Piña;Maracuyá;https://mareterracoffee.com/es/cafe-verde/cih-api_pro3309/
Café Cih AME;Ruanda;Kizi Rift;Arábica;Bourbon Rojo;1.700-2.060 m.s.n.m;No disponible;86,5;Afrutado;Melocotón;Galleta;https://mareterracoffee.com/es/cafe-verde/cih-ame_pro3298/
Café Fulu AMA;Ruanda;Muhazi;Arábica;Bourbon Rojo;1.550-1.835 m.s.n.m;No disponible;86,5;Afrutado;Mandarina;Avellana Tostada;https://mareterracoffee.com/es/cafe-verde/fulu-ama_pro3296/
Café Schedar LVI;Ruanda;Kizi Rift;Arábica;Bourbon Rojo;1.650-1.800 m.s.n.m;No disponible;86,5;Láctico;Violeta;Cacao;https://mareterracoffee.com/es/cafe-verde/schedar-lvi_pro3307/
Café Wasat AMO;Colombia;Huila;Arábica;Colombia;No disponible;No disponible;86,5;Afrutado;Mora;Chocolate Negro;https://mareterracoffee.com/es/cafe-verde/wasat-amo_pro3353/
Café Algieba APO;Kenia;Kiambu;Arábica;Ruiru 11, SL 28 y SL 34;2.003 m.s.n.m;2022;86,25;Afrutado;Pomelo;Chocolate Negro;https://mareterracoffee.com/es/cafe-verde/algieba-apo_pro1928/
Café Espresso Collection;Brasil Daterra;Cerrado Mineiro;Arábica;Mundo Novo y Paraíso;1.150 m.s.n.m;No disponible;86,25;Achocolatado;Bayas y Frutos del Bosque;Mantequilla;https://mareterracoffee.com/es/cafe-verde/espresso-collection_pro2579/
Café Espresso Collection;Brasil Daterra;Cerrado Mineiro;Arábica;No disponible;No disponible;No disponible;86,25;Achocolatado;Bayas y Frutos del Bosque;Mantequilla;https://mareterracoffee.com/es/cafe-verde/espresso-collection_pro2850/
Café Algieba ACR;Kenia;Kiambu;Arábica;Ruiru 11, SL 28 y SL 34;2.003 m.s.n.m;2022;86;Afrutado;Ciruela Roja;Chocolate Negro y Ciruela Roja;https://mareterracoffee.com/es/cafe-verde/algieba-acr_pro1926/
Café Regulus AME;Kenia;Kiambu;Arábica;SL 28 y SL 34;1.750 m.s.n.m;2022;86;Afrutado;Melocotón;Avellana;https://mareterracoffee.com/es/cafe-verde/regulus-ame_pro1921/
Café Sweet Collection;Brasil Daterra;Cerrado Mineiro;Arábica;No disponible;1.150 m.s.n.m;No disponible;86;Achocolatado;Melocotón Amarillo;Chocolate Negro;https://mareterracoffee.com/es/cafe-verde/sweet-collection_pro3220/
Café Meissa AVB;Guatemala;Atitlán;Arábica;Bourbon, Catuaí y Caturra;1.480-1.800 m.s.n.m;No disponible;86;Afrutado;Manzana;Caramelo Claro;https://mareterracoffee.com/es/cafe-verde/meissa-avb_pro3393/
Café Cih AHA;Ruanda;Kizi Rift;Arábica;Bourbon Rojo;1.700-2.060 m.s.n.m;No disponible;86;Afrutado;Hierbas Aromáticas;Azúcar de Caña;https://mareterracoffee.com/es/cafe-verde/cih-aha_pro3295/
Café Sweet Collection;Brasil Daterra;Cerrado Mineiro;Arábica;No disponible;1.150 m.s.n.m;No disponible;86;Achocolatado;Melocotón Amarillo;Chocolate Negro;https://mareterracoffee.com/es/cafe-verde/sweet-collection_pro3234/
Café Ikivuguto;Ruanda;Kizi Rift;Arábica;Bourbon Rojo;1.550-1.900 m.s.n.m;No disponible;86;Afrutado;Naranja;Albaricoque;https://mareterracoffee.com/es/cafe-verde/ikivuguto_pro3294/
Café Segin APS;Ruanda;Kizi Rift;Arábica;Bourbon Rojo;1.550-1.835 m.s.n.m;No disponible;86;Afrutado;Pasas;Cereza Roja;https://mareterracoffee.com/es/cafe-verde/segin-aps_pro3306/
Café Lyquidambar;El Salvador;Apaneca-Ilamatepec;Arábica;No disponible;1.100-1.200 m.s.n.m;No disponible;85,5;Achocolatado;Ciruela Pasa;Caramelo Oscuro;https://mareterracoffee.com/es/cafe-verde/lyquidambar_pro3395/
Café Lyquidambar;El Salvador;Apaneca-Ilamatepec;Arábica;Bourbon, Catuaí, Caturra y Caturra, Otros;1.100-1.200 m.s.n.m;2023;85,5;Achocolatado;Ciruela Pasa;Caramelo Oscuro;https://mareterracoffee.com/es/cafe-verde/lyquidambar_pro2607/
Café Algieba AGN;Kenia;Kiambu;Arábica;Ruiru 11, SL 28 y SL 34;1.600-1.800 m.s.n.m;2022;85,5;Afrutado;Grosella Negra;Cereza Roja;https://mareterracoffee.com/es/cafe-verde/algieba-agn_pro1929/
Café Furla;Etiopía;Sidama;Arábica;Heirloom;1.500-2.200 m.s.n.m;No disponible;85,25;Afrutado;Florales;Albaricoque;https://mareterracoffee.com/es/cafe-verde/furla_pro3275/
